0,0.1,390967.3707212842
1,1.1,390967.93938044447
2,2.1,390968.5711818393
3,3.1,390969.19049177936
4,4.1,390969.8559011964
5,5.1,390970.48754103115
6,6.1,390971.17938527674
7,7.2,390971.8461516972
8,8.2,390972.55780276615
9,9.2,390973.2729387514
10,10.2,390973.98674297635
11,11.2,390974.7484374373
12,12.2,390975.4764114742
13,13.2,390976.296803612
14,14.3,390977.1193448879
15,15.3,390977.92775101075
16,16.3,390978.7766338504
17,17.3,390979.59440043726
18,18.3,390980.50255668245
19,19.3,390981.32556996547
20,20.3,390982.25885385845
21,21.4,390983.21728604496
22,22.4,390984.0993110396
23,23.4,390985.0776507748
24,24.4,390985.99082889577
25,25.4,390986.97660533123
26,26.4,390987.92553688126
27,27.5,390988.929633193
28,28.5,390989.87863377575
29,29.5,390990.94321045344
30,30.5,390992.00294675905
31,31.5,390993.0021164193
32,32.6,390994.0873361038
33,33.5,390995.0675528232
34,34.6,390996.1976794954
35,35.6,390997.3017919083
36,36.6,390998.32980330754
37,37.6,390999.48541440367
38,38.6,391000.5415774186
39,39.6,391001.66932528495
40,40.7,391002.7499568011
41,41.7,391003.93519533996
42,42.7,391005.02336806065
43,43.7,391006.20429896185
44,44.7,391007.39803947153
45,45.7,391008.5176233984
46,46.7,391009.72792847216
47,47.7,391010.8316863471
48,48.8,391012.0676486335
49,49.8,391013.1659394771
50,50.8,391014.43155942135
51,51.8,391015.66971298156
52,52.8,391016.7933955129
53,53.9,391018.0631664201
54,54.9,391019.18886994856
55,55.8,391020.4217790038
56,56.9,391021.7142431085
57,57.9,391022.8697457153
58,59.0,391024.15670123894
59,60.0,391025.3065783857
60,60.9,391026.5892310484
61,62.0,391027.76044749806
62,63.0,391029.0681557319
63,64.0,391030.3611717583
64,65.1,391031.5574681791
65,66.0,391032.8608771174
66,67.0,391034.03513716534
67,68.1,391035.38331063435
68,69.1,391036.559989857
69,70.1,391037.91072783864
70,71.1,391039.2394278697
71,72.1,391040.4394854306
72,73.2,391041.7918964605
73,74.2,391043.0079829604
74,75.2,391044.3469339187
75,76.2,391045.5872055709
76,77.2,391046.92629791494
77,78.3,391048.3105384924
78,79.3,391049.54133156105
79,80.3,391050.8927536497
80,81.3,391051.9400207691
81,82.3,391053.52170168696
82,83.3,391054.7746765573
83,84.4,391056.16294151876
84,85.4,391057.4072921683
85,86.4,391058.822114117
86,87.4,391060.05046301533
87,88.4,391061.4478629456
88,89.5,391062.8534962279
89,90.5,391064.12930566247
90,91.5,391065.50079907745
91,92.5,391066.7744023172
92,93.5,391068.178853028
93,94.5,391069.42652679345
94,95.6,391070.8418373553
95,96.6,391072.1090999438
96,97.6,391073.55173729
97,98.6,391074.8045783508
98,99.6,391076.2007940656
99,100.7,391077.48310665763
100,101.6,391078.8875947596
101,102.6,391080.2904125124
102,103.7,391081.5898929681
103,104.7,391082.97956041904
104,105.7,391084.27969702956
104,105.8,391084.76605685323
103,104.7,391084.222707891
102,103.8,391083.5691694958
101,102.7,391082.8388343281
100,101.7,391082.11903111474
99,100.7,391081.3889288206
98,99.6,391080.5781026643
97,98.7,391079.84932454
96,97.7,391079.0413808327
95,96.6,391078.2231583715
94,95.6,391077.4169117852
93,94.6,391076.5705345952
92,93.6,391075.76382890966
91,92.6,391074.9210797004
90,91.5,391074.07243208395
89,90.5,391073.18802423996
88,89.5,391072.35989312176
87,88.5,391071.4492636773
86,87.5,391070.5934019835
85,86.5,391069.6693605207
84,85.4,391068.77525509195
83,84.4,391067.83284327347
82,83.4,391066.948446092
81,82.4,391065.9851176413
80,81.4,391065.10566180886
79,80.4,391064.1114682839
78,79.4,391063.13689447247
77,78.3,391062.209738133
76,77.3,391061.1973111121
75,76.3,391060.2541378024
74,75.2,391059.2020161323
73,74.2,391058.26181212603
72,73.2,391057.2446982468
71,72.2,391056.2534056729
70,71.2,391055.1991364232
69,70.2,391054.2125177871
68,69.2,391053.1463373873
67,68.1,391052.1428727054
66,67.1,391051.0413656833
65,66.1,391050.060820745
64,65.1,391048.97114402713
63,64.1,391047.93217658985
62,63.1,391046.8309794475
61,62.1,391045.8064264924
60,61.0,391044.67466443445
59,60.0,391043.6537684052
58,59.0,391042.52662818873
57,58.0,391041.46397352807
56,57.0,391040.30587325245
55,55.9,391039.2404830309
54,54.9,391038.09071374865
53,53.9,391036.9192847063
52,52.9,391035.8471439927
51,51.9,391034.68066908146
50,50.9,391033.6027866659
49,49.8,391032.39059991785
48,48.8,391031.32832909137
47,47.8,391030.11264924327
46,46.8,391029.0328079653
45,45.8,391027.84784793586
44,44.8,391026.72682405356
43,43.7,391025.5208906905
