50.0,50.1,390968.97335743945
50.1,50.3,390968.9542085183
50.2,50.4,390968.93336952064
50.3,50.4,390968.9354521919
50.4,50.6,390968.9147250307
50.5,50.7,390968.900493855
50.6,50.8,390968.8953901376
50.7,50.8,390968.88201783557
50.8,51.1,390968.85865350533
50.9,51.1,390968.8549998557
50.9,51.1,390968.8468173637
50.8,51.0,390968.85312850255
50.7,50.9,390968.8654945259
50.6,50.7,390968.87486928416
50.5,50.8,390968.86969377246
50.4,50.6,390968.88172807166
50.3,50.4,390968.8976696567
50.2,50.4,390968.89470593975
50.1,50.2,390968.90726338583
50.0,50.1,390968.9169881717
