0.0,0.1,390967.5089393084
0.1,0.2,390967.5574481804
0.2,0.3,390967.60682547255
0.3,0.4,390967.66304000275
0.4,0.5,390967.73451265425
0.5,0.6,390967.79250630125
0.6,0.7,390967.8593899121
0.7,0.8,390967.91046723817
0.8,0.9,390967.9723564138
0.9,1.0,390968.02120253135
0.9,1.0,390968.0298059716
0.8,0.9,390967.9757059011
0.7,0.8,390967.9190168762
0.6,0.7,390967.85608089704
0.5,0.6,390967.7963979937
0.4,0.5,390967.73041152547
0.3,0.4,390967.6633623806
0.2,0.3,390967.59987639694
0.1,0.2,390967.54174448876
0.0,0.1,390967.48604963673
