50.0,50.1,390968.5858546685
50.5,50.8,390968.52306198096
51.0,51.3,390968.4739504045
51.5,51.7,390968.4295783754
52.0,52.2,390968.3770167511
52.5,52.7,390968.32841719873
53.0,53.1,390968.2756160281
53.5,53.9,390968.20340820967
54.0,54.3,390968.1503541507
54.5,54.8,390968.1095207471
55.0,55.3,390968.05860748485
55.5,55.8,390968.0080544212
56.0,56.2,390967.9608519633
56.5,56.2,390967.9538834188
57.0,56.3,390967.94689393375
57.5,56.2,390967.94638761843
58.0,56.2,390967.9399347622
58.5,56.2,390967.9381492513
59.0,56.3,390967.9289991381
59.5,56.3,390967.92642408825
59.5,56.2,390967.9221531653
59.0,56.2,390967.9171980764
58.5,56.3,390967.9134824834
58.0,56.2,390967.9144643467
57.5,56.3,390967.89980194415
57.0,56.3,390967.903977574
56.5,56.3,390967.90088531637
56.0,56.3,390967.89789945737
55.5,55.7,390967.9441893809
55.0,55.3,390967.98406946985
54.5,54.8,390968.0305560256
54.0,54.3,390968.0664267187
53.5,53.9,390968.11621218646
53.0,53.2,390968.172700734
52.5,52.7,390968.22047443164
52.0,52.2,390968.265810661
51.5,51.7,390968.30989243044
51.0,51.2,390968.3652497947
50.5,50.8,390968.4065753653
50.0,50.1,390968.47494081466
